country,sex,year,not_classified_000
eth,m,1994,144.74000549316406
eth,f,1994,112.48999786376953
eth,mf,1999,128.10000610351562
eth,m,1999,66.4000015258789
eth,f,1999,61.70000076293945
eth,mf,2005,97.0
eth,m,2005,62.599998474121094
eth,f,2005,34.400001525878906
eth,mf,2006,33.779998779296875
eth,m,2006,21.974000930786133
eth,f,2006,11.805999755859375
eth,mf,2009,43.87300109863281
eth,m,2009,29.05699920654297
eth,f,2009,14.815999984741211
eth,mf,2010,53.5880012512207
eth,m,2010,39.71900177001953
eth,f,2010,13.869000434875488
eth,mf,2011,80.0199966430664
eth,m,2011,46.72600173950195
eth,f,2011,33.29399871826172
eth,mf,2012,58.13999938964844
eth,m,2012,36.810001373291016
eth,f,2012,21.33099937438965
eth,mf,2013,217.38299560546875
eth,m,2013,108.6780014038086
eth,f,2013,108.70500183105469
flk,mf,2013,0.0020000000949949026
flk,m,2013,0.0010000000474974513
flk,f,2013,0.0010000000474974513
fji,mf,2004,3.562000036239624
fji,m,2004,2.3570001125335693
fji,f,2004,1.2050000429153442
fji,mf,2005,4.199999809265137
fji,m,2005,1.5
fji,f,2005,2.799999952316284
fji,mf,2007,26.516000747680664
fji,m,2007,21.639999389648438
fji,f,2007,4.875999927520752
fin,mf,1995,0.17599999904632568
fin,m,1995,0.0
fin,f,1995,0.17599999904632568
fin,mf,1996,1.090999960899353
fin,m,1996,1.090999960899353
fin,f,1996,0.0
fin,mf,1997,0.12099999934434891
fin,m,1997,0.0
fin,f,1997,0.12099999934434891
fin,mf,1999,0.10899999737739563
fin,m,1999,0.10899999737739563
fin,f,1999,0.0
fin,mf,2000,0.41499999165534973
fin,m,2000,0.12800000607967377
fin,f,2000,0.28700000047683716
fin,mf,2003,0.0
fin,m,2003,0.0
fin,f,2003,0.0
fin,mf,2004,0.0
fin,m,2004,0.0
fin,f,2004,0.0
fin,mf,2005,0.03799999877810478
fin,m,2005,0.03799999877810478
fin,f,2005,0.0
fin,mf,2006,0.0
fin,m,2006,0.0
fin,f,2006,0.0
fin,mf,2007,0.06700000166893005
fin,m,2007,0.06700000166893005
fin,f,2007,0.0
fin,mf,2008,0.07199999690055847
fin,m,2008,0.07199999690055847
fin,f,2008,0.0
fin,mf,2014,0.0
fin,m,2014,0.0
fin,f,2014,0.0
fra,mf,2013,1.2719999551773071
fra,m,2013,0.621999979019165
fra,f,2013,0.6499999761581421
fra,mf,2014,1.8380000591278076
fra,m,2014,0.6600000262260437
fra,f,2014,1.1779999732971191
guf,mf,2007,0.4000000059604645
guf,mf,2008,0.4000000059604645
gab,mf,1993,16.972000122070312
gab,m,1993,6.004000186920166
gab,f,1993,10.968000411987305
gab,mf,2005,4.173999786376953
gab,m,2005,2.822000026702881
gab,f,2005,1.3519999980926514
gab,mf,2010,2.8389999866485596
gab,m,2010,1.8739999532699585
gab,f,2010,0.9660000205039978
gmb,mf,2012,9.833000183105469
gmb,m,2012,8.845000267028809
gmb,f,2012,0.9879999756813049
geo,mf,1998,14.199999809265137
geo,m,1998,8.100000381469727
geo,f,1998,6.099999904632568
geo,mf,1999,18.399999618530273
geo,m,1999,10.300000190734863
geo,f,1999,8.199999809265137
geo,mf,2000,14.600000381469727
geo,m,2000,8.399999618530273
geo,f,2000,6.199999809265137
geo,mf,2001,15.100000381469727
geo,m,2001,8.699999809265137
geo,f,2001,6.400000095367432
geo,mf,2002,4.0
geo,m,2002,3.0
geo,f,2002,1.0
geo,mf,2003,1.2000000476837158
geo,m,2003,0.800000011920929
geo,f,2003,0.4000000059604645
geo,mf,2004,2.299999952316284
geo,m,2004,1.7999999523162842
geo,f,2004,0.5
geo,mf,2005,4.900000095367432
geo,m,2005,2.5
geo,f,2005,2.4000000953674316
geo,mf,2006,1.7999999523162842
geo,mf,2007,0.10000000149011612
geo,mf,2008,1.100000023841858
geo,m,2008,1.0
geo,f,2008,0.10000000149011612
geo,mf,2009,1.2000000476837158
geo,m,2009,1.2000000476837158
geo,f,2009,0.10000000149011612
geo,mf,2010,2.4000000953674316
geo,m,2010,1.600000023841858
geo,f,2010,0.800000011920929
geo,mf,2011,6.794000148773193
geo,m,2011,2.5290000438690186
geo,f,2011,4.264999866485596
geo,mf,2012,7.425000190734863
geo,m,2012,3.2109999656677246
geo,f,2012,4.214000225067139
geo,mf,2013,10.0
geo,m,2013,4.800000190734863
geo,f,2013,5.199999809265137
gha,mf,2010,17.666000366210938
gha,m,2010,9.61299991607666
gha,f,2010,8.053000450134277
grd,mf,1991,1.4299999475479126
grd,m,1991,1.1200000047683716
grd,f,1991,0.3100000023841858
grd,mf,1996,0.38999998569488525
grd,m,1996,0.2800000011920929
grd,f,1996,0.10999999940395355
grd,mf,1998,1.6519999504089355
grd,m,1998,1.409999966621399
grd,f,1998,0.24199999868869781
glp,mf,2007,1.7999999523162842
glp,mf,2008,1.2000000476837158
gtm,mf,2010,914.2379760742188
gtm,m,2010,514.4860229492188
gtm,f,2010,399.75201416015625
gtm,mf,2013,1350.116943359375
gtm,m,2013,1007.958984375
