country,sex,year,total_self_employed_workers_a_b_c_d
btn,mf,2010,68.9000015258789
btn,m,2010,61.5
btn,f,2010,76.80000305175781
btn,mf,2011,71.0999984741211
btn,m,2011,60.099998474121094
btn,f,2011,83.30000305175781
btn,mf,2012,72.5
btn,m,2012,58.79999923706055
btn,f,2012,85.69999694824219
bol,mf,1989,46.0
bol,m,1989,39.70000076293945
bol,f,1989,54.70000076293945
bol,mf,1990,43.099998474121094
bol,m,1990,37.29999923706055
bol,f,1990,51.599998474121094
bol,mf,1991,43.5
bol,m,1991,36.599998474121094
bol,f,1991,53.20000076293945
bol,mf,1992,44.599998474121094
bol,m,1992,37.599998474121094
bol,f,1992,54.5
bol,mf,1993,43.79999923706055
bol,m,1993,37.0
bol,f,1993,52.70000076293945
bol,mf,1994,45.79999923706055
bol,m,1994,37.79999923706055
bol,f,1994,56.20000076293945
bol,mf,1995,48.29999923706055
bol,m,1995,40.79999923706055
bol,f,1995,58.0
bol,mf,1996,50.599998474121094
bol,m,1996,42.79999923706055
bol,f,1996,60.099998474121094
bol,mf,1997,52.900001525878906
bol,m,1997,46.900001525878906
bol,f,1997,60.900001525878906
bol,mf,1999,69.19999694824219
bol,m,1999,62.79999923706055
bol,f,1999,77.0
bol,mf,2000,68.4000015258789
bol,m,2000,63.79999923706055
bol,f,2000,74.19999694824219
bol,mf,2001,67.5
bol,m,2001,62.099998474121094
bol,f,2001,74.0
bol,mf,2002,68.5
bol,m,2002,63.70000076293945
bol,f,2002,74.5999984741211
bol,mf,2003,64.0
bol,m,2003,56.0
bol,f,2003,73.5999984741211
bol,mf,2004,64.0
bol,m,2004,56.0
bol,f,2004,73.5999984741211
bol,mf,2005,65.19999694824219
bol,m,2005,58.599998474121094
bol,f,2005,73.4000015258789
bol,mf,2006,65.4000015258789
bol,m,2006,60.79999923706055
bol,f,2006,71.0999984741211
bol,mf,2007,62.70000076293945
bol,m,2007,56.70000076293945
bol,f,2007,70.0999984741211
bol,mf,2008,62.900001525878906
bol,m,2008,57.5
bol,f,2008,69.4000015258789
bol,mf,2009,59.79999923706055
bol,m,2009,53.79999923706055
bol,f,2009,67.0999984741211
bol,mf,2011,60.5
bol,m,2011,55.29999923706055
bol,f,2011,67.0999984741211
bih,mf,2006,27.5
bih,m,2006,28.0
bih,f,2006,26.899999618530273
bih,mf,2007,26.899999618530273
bih,m,2007,27.299999237060547
bih,f,2007,26.700000762939453
bih,mf,2008,27.5
bih,m,2008,27.600000381469727
bih,f,2008,27.399999618530273
bih,mf,2009,27.200000762939453
bih,m,2009,25.700000762939453
bih,f,2009,29.600000381469727
bih,mf,2010,26.600000381469727
bih,m,2010,25.799999237060547
bih,f,2010,28.0
bih,mf,2011,25.200000762939453
bih,m,2011,25.100000381469727
bih,f,2011,25.399999618530273
bih,mf,2012,27.399999618530273
bih,m,2012,27.200000762939453
bih,f,2012,27.700000762939453
bih,mf,2013,25.299999237060547
bih,m,2013,26.200000762939453
bih,f,2013,24.100000381469727
bwa,mf,1984,54.099998474121094
bwa,m,1984,46.0
