country,sex,year,own_account_workers_b
btn,mf,2011,41.79999923706055
btn,m,2011,35.5
btn,f,2011,48.70000076293945
btn,mf,2012,49.79999923706055
btn,m,2012,34.599998474121094
btn,f,2012,64.30000305175781
bol,mf,1989,37.900001525878906
bol,m,1989,32.20000076293945
bol,f,1989,45.70000076293945
bol,mf,1990,34.70000076293945
bol,m,1990,28.700000762939453
bol,f,1990,43.400001525878906
bol,mf,1991,33.20000076293945
bol,m,1991,26.600000381469727
bol,f,1991,42.5
bol,mf,1992,33.70000076293945
bol,m,1992,26.399999618530273
bol,f,1992,43.900001525878906
bol,mf,1993,30.0
bol,m,1993,23.899999618530273
bol,f,1993,38.0
bol,mf,1994,30.100000381469727
bol,m,1994,22.399999618530273
bol,f,1994,40.0
bol,mf,1995,30.100000381469727
bol,m,1995,22.799999237060547
bol,f,1995,39.5
bol,mf,1996,32.20000076293945
bol,m,1996,24.5
bol,f,1996,41.400001525878906
bol,mf,1997,36.099998474121094
bol,m,1997,30.299999237060547
bol,f,1997,43.79999923706055
bol,mf,1999,40.20000076293945
bol,m,1999,41.900001525878906
bol,f,1999,38.099998474121094
bol,mf,2000,41.70000076293945
bol,m,2000,45.79999923706055
bol,f,2000,36.5
bol,mf,2001,35.70000076293945
bol,m,2001,38.599998474121094
bol,f,2001,32.29999923706055
bol,mf,2002,36.599998474121094
bol,m,2002,38.79999923706055
bol,f,2002,33.70000076293945
bol,mf,2003,35.70000076293945
bol,m,2003,33.900001525878906
bol,f,2003,37.79999923706055
bol,mf,2004,35.70000076293945
bol,m,2004,33.900001525878906
bol,f,2004,37.79999923706055
bol,mf,2005,34.599998474121094
bol,m,2005,35.29999923706055
bol,f,2005,33.70000076293945
bol,mf,2006,34.400001525878906
bol,m,2006,37.70000076293945
bol,f,2006,30.399999618530273
bol,mf,2007,33.400001525878906
bol,m,2007,34.099998474121094
bol,f,2007,32.5
bol,mf,2008,32.900001525878906
bol,m,2008,34.099998474121094
bol,f,2008,31.5
bol,mf,2009,33.400001525878906
bol,m,2009,34.70000076293945
bol,f,2009,31.700000762939453
bol,mf,2011,36.099998474121094
bol,m,2011,38.20000076293945
bol,f,2011,33.5
bih,mf,2006,21.700000762939453
bih,m,2006,25.0
bih,f,2006,15.899999618530273
bih,mf,2007,22.600000381469727
bih,m,2007,25.299999237060547
bih,f,2007,17.799999237060547
bih,mf,2008,22.100000381469727
bih,m,2008,25.0
bih,f,2008,17.0
bih,mf,2009,20.5
bih,m,2009,22.600000381469727
bih,f,2009,16.700000762939453
bih,mf,2010,20.899999618530273
bih,m,2010,23.399999618530273
bih,f,2010,16.700000762939453
bih,mf,2011,20.0
bih,m,2011,22.799999237060547
bih,f,2011,15.199999809265137
bih,mf,2012,22.700000762939453
bih,m,2012,25.100000381469727
bih,f,2012,18.700000762939453
bih,mf,2013,20.700000762939453
bih,m,2013,24.100000381469727
bih,f,2013,15.300000190734863
bwa,mf,1984,53.20000076293945
bwa,m,1984,45.0
bwa,f,1984,61.79999923706055
bwa,mf,1994,28.299999237060547
bwa,m,1994,29.299999237060547
bwa,f,1994,27.100000381469727
bwa,mf,2006,32.599998474121094
bwa,m,2006,30.799999237060547
bwa,f,2006,34.599998474121094
bwa,mf,2010,7.199999809265137
bwa,m,2010,5.0
bwa,f,2010,9.800000190734863
bra,mf,1990,23.200000762939453
bra,m,1990,24.700000762939453
bra,f,1990,20.5
bra,mf,1992,27.600000381469727
bra,m,1992,28.299999237060547
bra,f,1992,26.399999618530273
bra,mf,1993,27.399999618530273
bra,m,1993,28.100000381469727
bra,f,1993,26.200000762939453
bra,mf,1995,28.100000381469727
bra,m,1995,29.200000762939453
bra,f,1995,26.399999618530273
bra,mf,1996,27.399999618530273
bra,m,1996,29.399999618530273
bra,f,1996,24.299999237060547
bra,mf,2000,23.5
bra,m,2000,27.700000762939453
bra,f,2000,16.5
bra,mf,2001,26.299999237060547
bra,m,2001,28.700000762939453
bra,f,2001,22.799999237060547
bra,mf,2002,26.399999618530273
bra,m,2002,28.700000762939453
bra,f,2002,23.200000762939453
bra,mf,2003,26.700000762939453
bra,m,2003,29.100000381469727
bra,f,2003,23.299999237060547
bra,mf,2004,26.100000381469727
bra,m,2004,28.399999618530273
bra,f,2004,22.899999618530273
bra,mf,2005,21.600000381469727
bra,m,2005,25.5
bra,f,2005,16.200000762939453
bra,mf,2006,21.200000762939453
bra,m,2006,24.899999618530273
bra,f,2006,16.100000381469727
bra,mf,2007,21.200000762939453
