country,sex,year,not_classified_percentage
geo,mf,2009,0.10000000149011612
geo,m,2009,0.10000000149011612
geo,f,2009,0.0
geo,mf,2010,0.10000000149011612
geo,m,2010,0.20000000298023224
geo,f,2010,0.10000000149011612
geo,mf,2011,0.4000000059604645
geo,m,2011,0.30000001192092896
geo,f,2011,0.5
geo,mf,2012,0.4000000059604645
geo,m,2012,0.4000000059604645
geo,f,2012,0.5
geo,mf,2013,0.6000000238418579
geo,m,2013,0.5
geo,f,2013,0.6000000238418579
gha,mf,2006,0.10000000149011612
gha,m,2006,0.20000000298023224
gha,f,2006,0.10000000149011612
gha,mf,2010,0.20000000298023224
gha,m,2010,0.20000000298023224
gha,f,2010,0.10000000149011612
grd,mf,1991,6.0
grd,m,1991,7.599999904632568
grd,f,1991,3.4000000953674316
grd,mf,1996,1.100000023841858
grd,m,1996,1.399999976158142
grd,f,1996,0.699999988079071
grd,mf,1998,4.699999809265137
grd,m,1998,6.800000190734863
grd,f,1998,1.7000000476837158
glp,mf,2007,1.399999976158142
glp,mf,2008,0.8999999761581421
gtm,mf,2010,16.399999618530273
gtm,m,2010,14.5
gtm,f,2010,19.899999618530273
gtm,mf,2013,22.100000381469727
gtm,m,2013,25.5
gtm,f,2013,15.899999618530273
gin,mf,2009,5.599999904632568
gin,m,2009,7.5
gin,f,2009,3.5
gin,mf,2010,5.599999904632568
gin,m,2010,7.5
gin,f,2010,3.5
gin,mf,2011,5.599999904632568
gin,m,2011,7.5
gin,f,2011,3.5
gin,mf,2012,5.599999904632568
gin,m,2012,7.5
gin,f,2012,3.5
hti,mf,1990,1.5
hti,m,1990,1.399999976158142
hti,f,1990,1.7999999523162842
hnd,mf,2008,0.0
hnd,m,2008,0.0
hnd,f,2008,0.0
hnd,mf,2010,0.0
hnd,m,2010,0.0
hnd,f,2010,0.0
hun,mf,1992,1.399999976158142
hun,m,1992,2.5999999046325684
hun,f,1992,0.0
hun,mf,1993,1.5
hun,m,1993,2.700000047683716
hun,f,1993,0.0
hun,mf,1994,1.600000023841858
hun,m,1994,2.9000000953674316
hun,f,1994,0.0
hun,mf,1995,1.5
